,created_at,tweet_text
66,2022-01-19 15:13:41+00:00,"@NickBSchroer @JaredRussellMIZ Also, If Nate stays close to home he can continue helping Albert Pujols, Blues, WW2 veterans and the many other charities he serves. He would look good on our day-trips to Washington DC wearing black and yellow. I handle ALL social media for those. TV flies with us too. https://t.co/NZxuGVywxw"
67,2022-01-19 14:06:08+00:00,This you during the Trump presidency? https://t.co/1cg8oiLj93 https://t.co/iD3w5t10h9
68,2022-01-19 14:05:24+00:00,"Sign the petition to support sending 7 Republicans and 1 Democrat to Congress from Missouri. 

@danshaul113 is working hard to betray every Republican in Missouri by appeasing Democrats and protecting Democratic strongholds. Don’t let him!  #moleg

https://t.co/2scaz9oK31"
69,2022-01-19 13:50:54+00:00,"@BobOnderMO @NickBSchroer @sccmo Unbelievable.
This is exactly what I'm talking about.
@MOBourbonClub"
70,2022-01-19 13:46:11+00:00,"@BobOnderMO @NickBSchroer @sccmo Dr. Onder, can you please share the vote record so that we may inform our members which candidates we will work to remove from office? Thank you!"
71,2022-01-19 13:16:52+00:00,This Year’s March for Life Could Pave the Way for Finally Overturning Roe v. Wade https://t.co/OnsytRgFoJ
72,2022-01-19 13:12:10+00:00,".@Eric_Schmitt on @kcmotalkradio as he plans a lawsuit against the #KCMO school mask mandate: ""This is all political theatre ... [The city] hasn't won any cases, the only thing they have done is successfully delayed our discovery."""
73,2022-01-19 06:47:57+00:00,"@NickBSchroer @JaredRussellMIZ To keep Nathan close to home at Mizzou would be epic. They could have Nathan right now for free with a PWO. You can’t teach 6’9” 325 lbs, but a great coach will teach him everything else. Mizzou coaches will turn him into a violent force on that field in 4 months. 💯 #coachable https://t.co/QJSWGlE7E5"
74,2022-01-19 07:45:49+00:00,@NickBSchroer We absolutely appreciate your efforts Nick
75,2022-01-19 01:30:00+00:00,"A vet, engineer, and podcast host are among the '270 doctors' demanding Spotify take action against Joe Rogan
https://t.co/FNZT98Epzz"
76,2022-01-18 21:18:42+00:00,"CONFIRMED AT @cpac 2022: @GovRonDeSantis ""America's Governor"" https://t.co/7PqbfQwzup"
77,2022-01-18 23:15:46+00:00,Maybe we truly DO live in a society. https://t.co/KpKCKWrEox
78,2022-01-19 04:44:54+00:00,"The ruling against @NickBSchroer amendment was bogus &amp; utterly contrived. And you went on to vote for a map that divided @sccmo far worse than the one you cite. Congratulations, you gave us a 5-3 congressional map. #betrayal #disingenuous #swamp https://t.co/AgaDxQ9InY"
79,2022-01-19 02:13:11+00:00,#LiberalLogic https://t.co/wVeO6v0Igk
80,2022-01-19 00:44:14+00:00,@STLOmegaMan @SpeakerTimJones You must really want to date @SpeakerTimJones and @NickBSchroer
81,2022-01-18 18:59:23+00:00,"Rep. @NickBSchroer has the first amendment on the floor. Here’s a look at the map. It’s a 7-1 map, putting all of  St. Charles County in one district. #moleg https://t.co/ovHHRi9wYp"
82,2022-01-18 03:39:49+00:00,"At 6’9” and 325 lbs you’re looking at one the largest (in size) OL college prospects for 2022! 

Nate’s bigger than 99.9% of ALL NFL players! With the right strength and conditioning coach on Nate’s butt for 7 months, red shirted, you’ll have the most dominant OL’s in college fb. https://t.co/RGeGM0Bbgh"
83,2022-01-17 15:48:00+00:00,"Chris Pronger appreciation post.

#Pronger44 | #stlblues https://t.co/7C6CnS8wbV"
84,2022-01-18 03:37:48+00:00,@notmyna45069735 @GlazebrookAngie @NickBSchroer I can’t speak to that. But I can speak to the fact that his bill - and nothing that Republicans are advocating right now - would prohibiting teaching MLK’s ideas. Suggesting otherwise is willfully dishonest.
85,2022-01-18 03:36:08+00:00,@JohnKiehneForMo @NickBSchroer Are you suggesting that things haven’t changed for the better since 1963?
86,2022-01-18 02:53:00+00:00,"@JohnKiehneForMo @NickBSchroer He said that 58-59 years ago…I think “many years” has come and gone, and the United States is in a much much better place, don’t you?"
87,2022-01-18 03:19:04+00:00,"@notmyna45069735 @GlazebrookAngie @NickBSchroer I’m not a Republican. But being one doesn’t preclude someone from understanding CRT. 

There aren’t many Republicans who believe Dr. King was preaching CRT."
88,2022-01-18 00:13:16+00:00,"TRUMP IN THE GEORGIA CANYONS! 

#Trump #MAGA #Georgia #BigScam #STAYLOUD #LOUDMAJORITY #USA #AmericaFirst

https://t.co/EAx4WlTymk"
89,2022-01-17 16:31:43+00:00,"On January 13, 1986, Republican Missouri Governor John Ashcroft signed Governor's Executive Order 86-01 making Martin Luther King Jr. Day an official state holiday to commemorate the constructive leadership he exemplifies. #moleg  https://t.co/McoKpEE3Pp"
90,2022-01-18 02:40:02+00:00,Trump Slams Democrats: “We’re Tired of Taking Lectures From a Party That Thinks Babies Can be Killed After Birth” https://t.co/iJlKTB80l7 https://t.co/Sjxbh0teHZ
91,2022-01-18 02:30:41+00:00,@Who_Can_Say @NickBSchroer By stopping abortions… what else do you think I meant?
92,2022-01-18 02:26:00+00:00,"@Who_Can_Say @NickBSchroer No, he’s just trying to protect the innocent life that hasn’t been born yet."
93,2022-01-18 00:28:45+00:00,@kim_in_the_wood @NickBSchroer Neither HB 1095 nor HB 1474 censor any of Dr. King’s teachings. Have you read the legislation?
94,2022-01-17 21:22:48+00:00,We are fighting a spiritual battle. https://t.co/b0hRLpy7Kk
95,2022-01-17 22:56:07+00:00,@GlazebrookAngie @NickBSchroer ^ well this is objectively false
96,2022-01-17 20:25:21+00:00,"Dr. Martin Luther King Jr. was a friend to Israel and the Jewish People. Today we honor his great contributions to the world.

#mlkday #rememberingmlk #embracemlk https://t.co/V2Fmd8G3qY"
97,2022-01-17 19:10:58+00:00,The same people that decry the legacy of slavery in America will say or do nothing about today's slavery in China. https://t.co/aDczcCrGt1
98,2022-01-17 15:55:53+00:00,"""As one of God’s microphones, I’m often required to say what people don’t want to hear. Abortion is racism.""

https://t.co/fsjCU0qKp4"
99,2022-01-17 15:54:43+00:00,"""Liberal theology seems to be lost in a vocabulary."" — Martin Luther King, Jr. in a 1948 essay titled ""The Weaknesses of Liberal Theology""

This is still true today. Liberal theology, in its various forms, is fundamentally grounded in vernacular, narrative, and nuance. #MLKDay"
